ID PROCESSO;CODIDCE PRODOTTO;CODICE CHIMICA;CODICE SACCO;PESO REALE SACCO;CODICI COMPONENTI PESO;CODICE COLORE;CODICE CLIENTE;DATA DI PRODUZIONE;CODICE OPERATORE;CODICE COMPONENTE IN;TIPO PROCESSO;INFO 1;INFO 2;INFO 3;INFO 4;INFO 5;INFO 6;INFO 7;INFO 8;INFO 9;INFO 10
1 ;PULIZ;COD_CHIMICA_PULIZIA;COD_SACCO_PULIZIA;-26;COD_FORMULA_SVUOTA;COD_COLORE_PULIZIA;Cliente sconosciuto;2021-05-19 12:49:59.0;null;;null;null;null;null;null;null;null;null;null;null;null
2 ;PULIZ;COD_CHIMICA_PULIZIA;COD_SACCO_PULIZIA;-20;COD_FORMULA_SVUOTA;COD_COLORE_PULIZIA;Cliente sconosciuto;2021-05-19 12:51:04.0;null;;null;null;null;null;null;null;null;null;null;null;null
3 ;PULIZ;COD_CHIMICA_PULIZIA;COD_SACCO_PULIZIA;-24;COD_FORMULA_SVUOTA;COD_COLORE_PULIZIA;Cliente sconosciuto;2021-05-19 12:51:24.0;null;;null;null;null;null;null;null;null;null;null;null;null
4 ;PULIZ;COD_CHIMICA_PULIZIA;COD_SACCO_PULIZIA;-23;COD_FORMULA_SVUOTA;COD_COLORE_PULIZIA;Cliente sconosciuto;2021-05-19 12:51:44.0;null;;null;null;null;null;null;null;null;null;null;null;null
5 ;COL25;KCOL2500000744137;KCOL2500000744137;-79;11_0.3_0;;Cliente sconosciuto;2021-05-19 13:49:27.0;null;;null;null;null;null;null;null;null;null;null;null;null
6 ;COL25;KCOL2500000744137;8020458000461;-44;11_0.3_0;;Cliente sconosciuto;2021-05-19 13:50:04.0;null;;null;null;null;null;null;null;null;null;null;null;null
7 ;COL25;KCOL2500000744137;8020458000461;173;11_0.3_0;;Cliente sconosciuto;2021-05-19 13:50:43.0;null;;null;null;null;null;null;null;null;null;null;null;null
8 ;COL25;KCOL2500000744137;8020458000461;-45;11_0.3_0;;Cliente sconosciuto;2021-05-19 13:51:58.0;null;;null;null;null;null;null;null;null;null;null;null;null
9 ;COL25;KCOL2500000756924;YYYY;-45;3_0.11_0;;Cliente sconosciuto;2021-05-19 14:03:26.0;null;;null;null;null;null;null;null;null;null;null;null;null
10 ;COL25;KCOL2500000756924;8020458000461;-43;3_0.11_0;;Cliente sconosciuto;2021-05-19 14:03:58.0;null;;null;null;null;null;null;null;null;null;null;null;null
11 ;COL25;KCOL2500000756924;8020458000461;-42;3_0.11_0;;Cliente sconosciuto;2021-05-19 14:04:32.0;null;;null;null;null;null;null;null;null;null;null;null;null
12 ;COL25;KCOL2500000756924;TTT;-44;3_0.11_0;;Cliente sconosciuto;2021-05-19 14:05:01.0;null;;null;null;null;null;null;null;null;null;null;null;null
13 ;COL25;KCOL2500000756924;UJJ;-66;3_0.11_0;;Cliente sconosciuto;2021-05-19 14:16:50.0;null;;null;null;null;null;null;null;null;null;null;null;null
14 ;COL25;KCOL2500000756924;YHHHH;-49;3_0.11_0;;Cliente sconosciuto;2021-05-19 14:17:16.0;null;;null;null;null;null;null;null;null;null;null;null;null
15 ;COL25;KCOL2500000756924;UJJJ;-53;3_0.11_0;;Cliente sconosciuto;2021-05-19 14:17:37.0;null;;null;null;null;null;null;null;null;null;null;null;null
16 ;COL25;KCOL2500000756924;UJJJ;-55;3_0.11_0;;Cliente sconosciuto;2021-05-19 14:18:05.0;null;;null;null;null;null;null;null;null;null;null;null;null
17 ;COL25;KCOL2500000744137;UJJJJ;-55;11_0.3_0;;Cliente sconosciuto;2021-05-19 14:34:21.0;null;;null;null;null;null;null;null;null;null;null;null;null
18 ;COL25;KCOL2500000744137;UUJJ;-59;11_0.3_0;;Cliente sconosciuto;2021-05-19 14:34:58.0;null;;null;null;null;null;null;null;null;null;null;null;null
19 ;COL25;KCOL2500000744137;UJJJJ;-46;11_0.3_0;;Cliente sconosciuto;2021-05-19 14:35:25.0;null;;null;null;null;null;null;null;null;null;null;null;null
20 ;COL25;KCOL2500000744137;UJJJ;-48;11_0.3_0;;Cliente sconosciuto;2021-05-19 14:35:52.0;null;;null;null;null;null;null;null;null;null;null;null;null
21 ;COL25;KCOL2500000744139;YYYH;-33;11_0.3_0;;Cliente sconosciuto;2021-05-19 14:51:30.0;null;;null;null;null;null;null;null;null;null;null;null;null
22 ;COL25;KCOL2500000744139;UJJJ;1;11_0.3_0;;Cliente sconosciuto;2021-05-19 14:52:00.0;null;;null;null;null;null;null;null;null;null;null;null;null
23 ;COL25;KCOL2500000744139;UJJJ;-52;11_0.3_0;;Cliente sconosciuto;2021-05-19 14:52:23.0;null;;null;null;null;null;null;null;null;null;null;null;null
24 ;COL25;KCOL2500000744139;YHHHHHG;-13;11_0.3_0;;Cliente sconosciuto;2021-05-19 14:53:00.0;null;;null;null;null;null;null;null;null;null;null;null;null
25 ;COL25;KCOL2500000744142;8020458000461;4;11_0.3_0;;Cliente sconosciuto;2021-05-19 15:07:37.0;null;;null;null;null;null;null;null;null;null;null;null;null
26 ;COL25;KCOL2500000756924;UUJJ;-30;11_0.3_0;;Cliente sconosciuto;2021-05-19 15:34:00.0;null;;null;null;null;null;null;null;null;null;null;null;null
27 ;COL25;KCOL2500000756924;UJJJ;-40;11_0.3_0;;Cliente sconosciuto;2021-05-19 15:34:22.0;null;;null;null;null;null;null;null;null;null;null;null;null
28 ;COL25;KCOL2500000756924;UJJHH;-40;11_0.3_0;;Cliente sconosciuto;2021-05-19 15:34:45.0;null;;null;null;null;null;null;null;null;null;null;null;null
29 ;COL25;KCOL2500000756924;UJHY;-40;11_0.3_0;;Cliente sconosciuto;2021-05-19 15:35:07.0;null;;null;null;null;null;null;null;null;null;null;null;null
30 ;COL25;KCOL2500000744137;IIIKK;-40;3_-50.11_-50;;Cliente sconosciuto;2021-05-19 15:38:12.0;null;;null;null;null;null;null;null;null;null;null;null;null
31 ;COL25;KCOL2500000744137;UJJJ;-40;3_-50.11_-50;;Cliente sconosciuto;2021-05-19 15:38:34.0;null;;null;null;null;null;null;null;null;null;null;null;null
32 ;COL25;KCOL2500000744138;8020458000461;960;11_0.3_0;;Cliente sconosciuto;2021-05-19 16:49:30.0;null;;null;null;null;null;null;null;null;null;null;null;null
33 ;COL25;KCOL2500000744138;;960;11_0.3_0;;Cliente sconosciuto;2021-05-19 16:49:30.0;null;;null;null;null;null;null;null;null;null;null;null;null
34 ;COL25;KCOL2500000744138;;960;11_0.3_0;;Cliente sconosciuto;2021-05-19 16:49:31.0;null;;null;null;null;null;null;null;null;null;null;null;null
35 ;COL25;KCOL2500000744138;;960;11_0.3_0;;Cliente sconosciuto;2021-05-19 16:49:31.0;null;;null;null;null;null;null;null;null;null;null;null;null
36 ;COL25;KCOL2500000744138;;960;11_0.3_0;;Cliente sconosciuto;2021-05-19 16:49:31.0;null;;null;null;null;null;null;null;null;null;null;null;null
37 ;PULIZ;COD_CHIMICA_PULIZIA;COD_SACCO_PULIZIA;-10;COD_FORMULA_SVUOTA;COD_COLORE_PULIZIA;Cliente sconosciuto;2021-05-19 16:53:51.0;null;;null;null;null;null;null;null;null;null;null;null;null
38 ;PULIZ;COD_CHIMICA_PULIZIA;COD_SACCO_PULIZIA;-10;COD_FORMULA_SVUOTA;COD_COLORE_PULIZIA;Cliente sconosciuto;2021-05-19 16:55:07.0;null;;null;null;null;null;null;null;null;null;null;null;null
39 ;COL25;KCOL2500000744139;YHHH;26400;11_69350.3_46750;;Cliente sconosciuto;2021-05-19 17:17:50.0;null;;null;null;null;null;null;null;null;null;null;null;null
40 ;COL25;KCOL2500000744139;UJJJJ;26440;11_69350.3_46750;;Cliente sconosciuto;2021-05-19 17:18:33.0;null;;null;null;null;null;null;null;null;null;null;null;null
41 ;COL25;KCOL2500000744139;UJJJ;25610;11_69350.3_46750;;Cliente sconosciuto;2021-05-19 17:19:27.0;null;;null;null;null;null;null;null;null;null;null;null;null
42 ;PULIZ;COD_CHIMICA_PULIZIA;COD_SACCO_PULIZIA;300;COD_FORMULA_SVUOTA;COD_COLORE_PULIZIA;Cliente sconosciuto;2021-05-19 17:22:16.0;null;;null;null;null;null;null;null;null;null;null;null;null
43 ;PULIZ;COD_CHIMICA_PULIZIA;COD_SACCO_PULIZIA;1390;COD_FORMULA_SVUOTA;COD_COLORE_PULIZIA;Cliente sconosciuto;2021-05-19 17:23:02.0;null;;null;null;null;null;null;null;null;null;null;null;null
44 ;PULIZ;COD_CHIMICA_PULIZIA;COD_SACCO_PULIZIA;60;COD_FORMULA_SVUOTA;COD_COLORE_PULIZIA;Cliente sconosciuto;2021-05-19 17:23:31.0;null;;null;null;null;null;null;null;null;null;null;null;null
45 ;COL25;KCOL2500000756923;WE;24860;3_0.11_50;;Cliente sconosciuto;2021-05-19 17:55:14.0;null;;null;null;null;null;null;null;null;null;null;null;null
